lau_id,commune,canton,year,population,area_km2,pop_density,employment_rate,unemployment_rate,income_index,foreign_pop_pct,cross_border_workers,degurba,unemp_z,income_z,emp_z,forpop_z,nat_bond_conc,nat_credit_shr,nat_fiscal_bal,nat_gdp_bn,nat_stress_score,nat_total_assets,nat_num_banks,commune_revenue_eur_m,commune_expenditure_eur_m,commune_balance_eur_m,commune_debt_per_capita,bank_commune_credit_eur_m,bank_exposure_hhi,fiscal_distress_proxy,label_source,data_vintage
1001,Beaufort,Echternach,2021,2241,29.82,75.15,61.6,5.6,92,31.2,13,3,0.37,-0.386,-0.536,-0.882,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1002,Bech,Echternach,2021,982,18.84,52.12,61.4,5.5,91,30.4,5,3,0.223,-0.465,-0.631,-0.957,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0701,Beckerich,Redange,2021,2541,39.74,63.94,61.2,5.7,89,36.8,14,3,0.518,-0.625,-0.726,-0.358,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1003,Berdorf,Echternach,2021,1082,18.83,57.46,61.2,5.7,91,29.4,5,3,0.518,-0.465,-0.726,-1.051,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0301,Bertrange,Luxembourg,2021,12183,11.39,1069.62,67.4,3.5,131,58.4,80,2,-2.729,2.721,2.224,1.666,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0201,Bettembourg,Esch-sur-Alzette,2021,13016,18.62,699.03,64.4,5.7,91,56.8,210,2,0.518,-0.465,0.797,1.516,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0601,Bettendorf,Diekirch,2021,2148,21.38,100.47,61.8,5.6,92,33.1,13,3,0.37,-0.386,-0.44,-0.704,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1101,Betzdorf,Grevenmacher,2021,2982,22.84,130.56,63.1,5.1,99,42.4,22,2,-0.368,0.172,0.178,0.167,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0402,Bissen,Mersch,2021,2184,20.09,108.71,62.8,5.1,100,35.8,14,3,-0.368,0.251,0.035,-0.451,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1102,Biwer,Grevenmacher,2021,1882,20.14,93.45,62.4,5.3,97,39.4,12,3,-0.072,0.012,-0.155,-0.114,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0801,Boulaide,Wiltz,2021,882,37.84,23.31,59.4,6.4,78,24.2,4,3,1.551,-1.501,-1.582,-1.538,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0602,Bourscheid,Diekirch,2021,1182,58.24,20.3,60.8,5.7,89,29.4,6,3,0.518,-0.625,-0.916,-1.051,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
